Number,Year Erected,Marker Name,Marker Text,Civil War Site?,Location,Latitude,Longitude,Mapped Location
120,2005,Randall Jarrell 1914-1965,"Distinguished poet, critic, novelist, and teacher. Born in Nashville; Hume-Fogg graduate 1931; Vanderbilt bachelor’s and master’s degrees. Served in U.S. Army Air Corps in World War II. Wrote about losses of war and childhood innocence. Poet Laureate at Library of Congress, 1956-58. Winner of National Book Award for poetry, 1960.",,"Hume-Fogg High School, 700 Broadway",36.159303,-86.781572,POINT (-86.781572 36.159303)
78,1982,Percy Warner Park 2058.1 Acres,"Percy Warner (1861-1927) was a pioneer in electric utilities and hydroelectric development in the South. As chairman of the Park Board, he expanded Nashville’s park system. Preservation of this natural area was one of his greatest civic projects. Named in his honor by the Park Board in 1927, this land constitutes the largest municipal park in Tennessee.",,Belle Meade Boulevard at Warner Park entrance,36.083058,-86.867129,POINT (-86.867129 36.083058)
94,1995,Votes for Women,"On August 18, 1920, Tennessee became the 36th state to ratify the 19th Amendment to the U.S. Constitution, thereby giving all American women the right to vote. After weeks of intense lobbying by national leaders, Tennessee passed the measure by one vote. The headquarters for both suffragists, wearing yellow roses,
 and anti-suffragists, wearing red roses, were in the Hermitage Hotel.",,Union Street and Capitol Boulevard,36.163758,-86.78287,POINT (-86.78287 36.163758)
215,2020,Lock 2 Park,"In 1888, the U.S. Army Corps of Engineers sought to make water travel on the Cumberland River easier by regulating water levels with a series of dams and locks. Construction on Lock 2 began in 1892, and the lock and dam were finished in 1907. The project ended in 1924 with only 15 of the planned 26 locks completed. Leased to Metro Parks since 1956, Lock 2 Park still contains the lock keeper's house, several outbuildings, a lock wall, and a river gauge on the concrete steps.",,Lock 2 Road,36.244216,-86.70192,POINT (-86.70192 36.244216)
127,2008,Una Community,"The Una community developed around the crossroads of Smith springs road and Old Murfreesboro Pike in the early 19th century. The local postmaster changed the community name from Rowesdale, or Rosedale, to Una in 1882, honoring a Peabody college student much loved by local residents. Home to schools, churches, a general store, and a service station, this bustling tightly-knit rural community was supplanted by suburban development by the end of the 20th century.",,Smith Springs Road and Old Murfreesboro Road,36.096776,-86.654516,POINT (-86.654516 36.096776)
209,2019,Olive Branch Missionary Baptist Church,"In 1871, District 6 school commissioners John Briley, Benjiah Gray and Jason Austin bought one acre of land from James Thompson for an African American school. In 1873, African American members of the Benevolent Society of Olive Branch No. 38 established Olive Branch Cemetery. Olive Branch Missionary Baptist Church (est. 1875) used the one-room school for services until the church was built. The church was re-built in 1971. Due to its condition, the school was demolished c. 1980.",,5988 Cane Ridge Road,36.005319,-86.639733,POINT (-86.639733 36.005319)
148,2013,W.r. Rochelle (1904-1989),"A graduate of Peabody College, William Rayburn Rochelle served as principal of Cohn High School from 1939 until his retirement in 1965. An innovative educator, he led Cohn in developing student government and was responsible for a state of the art music education program. Rochelle devoted his life to education and community service, especially to adults with intellectual disabilities. In 1968, he founded the Rochelle Center for disabled adults and their families.",,"Cohn School, 4805 Park Avenue",36.150993,-86.84525,POINT (-86.84525 36.150993)
17,1969,Chickasaw Treaty,"In 1783, Chickasaw chiefs met with white settlers at a spring 100 yards north and agreed on land rights—the Cumberland country for the settlers, the Tennessee River lands beyond the Duck River ridge for the Chickasaw. This tribe became firm friends of James Robertson and his people, but the settlement suffered many more raids by Cherokees and Creeks.",,Corner of Morrow Road and Terry Drive,36.163513,-86.863273,POINT (-86.863273 36.163513)
199,2019,Jewish Community Center Bombing,"At 8:07 p.m. on Sunday, March 16, 1958 a bomb exploded at the Jewish Community Center at 3500 West End Avenue. The JCC, which was located here from 1952-84, often hosted community meetings aimed at desegregating Nashville’s schools and communities based on the Jewish values of equality and justice for all. Rabbi William Silverman received a call from the “Confederate Underground” claiming responsibility for the bombing.  The JCC opened one day later to demonstrate its resilience.",,440 Greenway entrance at West End Avenue,36.136352,-86.822402,POINT (-86.822402 36.136352)
161,2017,Penny Campbell 1953-2014,"An activist for LGBT rights and advocate for people with mental health and housing issues, Campbell co-organized Tennessee’s delegation to the 1987 March on Washington for Lesbian & Gay Rights and Nashville's 1988 Pride parade at a time when many feared discrimination and violence. Daughter of civil rights activist Will Campbell, she was the lead plaintiff in Campbell v. Sundquist (1996), which overturned a law criminalizing private, consensual, sexual acts between same-sex adults.",,1615 McEwen Avenue,36.181223,-86.739831,POINT (-86.739831 36.181223)
14,1969,Nashville Centennial 1780-1880,"On April 24, 1880, Nashville began a month-long celebration of 100 years since the signing of the Cumberland Compact. Starting with a 100-gun salute at the Capitol, a procession of dignitaries, veterans, businesses and community groups paraded to the Centennial Exposition building here. The evening featured speeches, music and a grand display of fireworks. Vendors sold Centennial Medals bearing the likeness of the recently dedicated Capitol statue of Pres. Andrew Jackson.",,801 Broadway,36.158648,-86.782508,POINT (-86.782508 36.158648)
140,2011,Bradley Studios,"In 1955, brothers Owen and Harold Bradley built a recording studio in the basement of a house on this site. They added another studio here in an army Quonset Hut, producing hits by Patsy Cline, Red Foley, Brenda Lee, Marty Robbins, Sonny James, and others. Columbia Records purchased the studios in 1962. The studio established its reputation in the music industry with hits by stars including Johnny Cash, Bob Dylan, Roger Miller, George Jones, and Tammy Wynette.",,34 Music Square East,36.149432,-86.792024,POINT (-86.792024 36.149432)
56,1975,Devon Farm,"Home of John Davis, early surveyor, who came from N.C. to Nashville in 1788. Davis was an Indian fighter & scout in the State Militia until 1795. He settled on Big Harpeth in 1795-96 and that year built a 1½-story home of hand-made brick. The farm, named for Devon cattle bred here, has been owned by seven generations of Davis-Hicks descendants.",,Hwy 100 near Devon Farm entrance,,,
10,1968,Two Rivers Mansion,"Built in 1859 by David H. McGavock, this mansion stands on land inherited by McGavock’s wife, Willie, from her father, William Harding.  The smaller house to the left was built in 1802.  Dr. James Priestley’s Academy, established about 1816, was located on the 1,100 acre farm 1 mile from the mansion on the Cumberland River bluff.",,"In front of Two Rivers Mansion, 3130 McGavock Pike",36.189167,-86.674717,POINT (-86.674717 36.189167)
205,2019,Crieve Hall,"The Crieve Hall neighborhood was part of the over 2,000-acre estate of John Overton, on which he built Travellers Rest in 1799. Jesse M. Overton built an English Tudor-style house called Overton Hall near here in 1900. Mr. and Mrs. Herbert Farrell purchased the estate in 1925, expanded the home and extensive gardens, and renamed it Crieve Hall after the ancestral Farrell home in Northern Ireland. The house was razed in the 1950s, and Crieve Hall Elementary School opened in 1955.",,498 Hogan Road,36.065334,-86.757854,POINT (-86.757854 36.065334)
12,1969,Nashville’s First Public School,"Nashville’s first public school, Hume School, opened here Feb. 26, 1855.  A three story brick building, the school employed 12 teachers and served all grades.  In 1874 high school classes were moved to Fogg School built on adjoining corner lot. Named for educators, Alfred E. Hume & Francis B. Fogg, the schools were replaced by Hume-Fogg in 1912.",,"Hume-Fogg High School, 700 Broadway",36.159303,-86.781572,POINT (-86.781572 36.159303)
150,2013,Sylvan Park School,"A two-room frame school building was constructed here in 1907 to serve the children of newly-annexed West Nashville. Students in grades 1-8 attended here, and a second two-room building was added in 1909 for students in grades 1-4. Maria Wilson Hill served as first principal. In 1936, the Public Works Administration funded the construction of the current Art Deco building, designed by the architectural firm of Asmus and Clark.",,4801 Utah Avenue,36.144462,-86.844438,POINT (-86.844438 36.144462)
87,1992,Nashville Sit-ins,"Formerly located at this site was First Baptist Church, Capitol Hill, headquarters of the 1960s Sit-In Movement, led by Rev. Kelly Miller Smith. Strategy sessions, non-violence workshops, mass meetings, victory celebrations, and administrative offices were here. The well-disciplined Nashville Sit-Ins served as a model for civil rights demonstrations throughout the South.",,Eighth Avenue North and Charlotte Pike,36.164267,-86.785598,POINT (-86.785598 36.164267)
73,1981,Assumption Church,"Nashville’s second oldest Catholic church, dedicated Aug. 14, 1859, its rectory on right was added in 1874, school on left in 1879. The present altar, windows, and steeple were added later. The Germantown neighborhood grew around it; sermons were often in German until World War I. The parish has produced many nuns and priests including Archbishop John Floersh and Cardinal Stritch.",,1227 Seventh Avenue North,36.175457,-86.791303,POINT (-86.791303 36.175457)
100,1997,Central High School,"Founded in 1915 as the first public high school in the county system, Central High School stood here from 1921-1971. One of the earliest student government associations in the South began here. Many graduates became city and county political leaders. The last mayor of the old Nashville City Government, Ben West, and first Metro Government mayor, Beverly Briley, were classmates here.",,161 Rains Avenue,36.135195,-86.764707,POINT (-86.764707 36.135195)
80,1982,Edwin Warner Park 606.7 Acres,Edwin Warner (1870-1945) succeeded his brother Percy on the Park Board in 1927 and served for eighteen years. He personally directed the acquisition of most of the Warner Park acreage and supervised WPA development of the property. Warner organized a major Victory Garden program in the park during WWII. Park land west of Old Hickory Blvd. was renamed in his honor in 1937.,,Highway 100 at Edwin Warner Park entrance,36.061155,-86.911197,
18,1969,Johnson's Station,"In 1783, the State of North Carolina granted Cumberland Compact signer Isaac Johnson 640 ac. on Richland Creek. He settled near Johnson’s Lick, a spring on a buffalo path to the southwest. By 1787, a double log house and partially picketed cabins named Johnson’s Station stood here as a fort and tax collection site. Vacated in Jan. 1789, the station burned five months later. Charles Bosley, a wealthy member of the Nickajack Expedition and plantation owner, settled here in 1818.",,Harding Pike/ Memphis-Bristol Hwy and Vine Court,36.129886,-86.83927,POINT (-86.83927 36.129886)
116,2003,Tolbert Hollow,"George Tolbert, a farmer, bought 97½ acres here in 1879 that became known as Tolbert Hollow. He was a former slave who, according to family tradition, purchased his own freedom. Tolbert worked 45 acres by 1880 and cut and sold wood with his sons. Land ownership signified true freedom for blacks after the Civil War. Generations of Tolbert’s descendants continued to live on his land.",,"Tolbert Road, off of Old Hickory Boulevard",36.106301,-86.921666,POINT (-86.921666 36.106301)
29,1970,Madison College,"Madison College was founded in 1904 as Nashville Agricultural Normal Institute by Seventh-day Adventists on a farm of 412 acres. A sanitarium and campus industries were integral to the plan of work and study for students training for careers in agriculture, teaching, religion, industrial arts, nursing and allied health courses, and other fields.",,"Hospital Drive off of Neely's Bend Road, Madison",36.250601,-86.683705,POINT (-86.683705 36.250601)
1,1968,Heaton's Station,"Heaton’s Station (also called Old Heaton Station, Eaton Station, and Heatonsburg) was founded by Amos Heaton after arriving here with James Robertson in Dec. 1779. Stations founded by others in the surrounding area included: Fort Union, Freelands, Nashborough, Stones River, Mansker, Asher, and Bledsoe. By 1783, only two stations remained, Heaton and Nashborough. The Heaton family moved west in 1786 to New Heaton Station, along the present-day Eaton Creek area of Whites Creek.",,Lock Road at Seminary Street,36.201231,-86.788033,POINT (-86.788033 36.201231)
83,1987,Black Churches of Capitol Hill,"1. First Baptist Church, Capitol Hill (1848) 2. Gay Street Christian Church (1859) 3. Mount Olive Missionary Baptist Church (1887) 4. St. Andrews Presbyterian Church (1898) 5. St. John A.M.E. Church (1863) 6. Spruce Street Baptist Church (1848). These six churches stood within 1/6 mile of this marker.
 These six Black churches stood in the center of Nashville’s prosperous Black business district before the Capitol Hill Redevelopment Program. Several began before the Civil War as “missions” or Sunday School classes of earlier white churches. All boasted memberships of over 1,000 by 1910 and claimed the city’s most prominent Black business and professional families. All but one moved in the 1950s, and all continue to serve the Nashville community.",,"Charlotte Pike, between 10th Avenue North and YMCA Way (across from Avon Williams of TSU)",36.163648,-86.787207,POINT (-86.787207 36.163648)
